ComponentCode,ComponentModel,ComponentSpecification,StockCount,ERPComponentName,ComponentType,ComponentLibraryType,SortableValueMagnitude,SortableValueUnit,Datasheet
C49678,CC0805KRX7R9BB104,0805,13733502,100nF ±10% 50V,Multilayer Ceramic Capacitors MLCC - SMD/SMT,base,,,https://datasheet.lcsc.com/lcsc/1810101813_YAGEO-CC0805KRX7R9BB104_C49678.pdf
C15849,CL10A105KB8NNNC,0603,7288577,1uF ±10% 50V,Multilayer Ceramic Capacitors MLCC - SMD/SMT,base,,,https://datasheet.lcsc.com/lcsc/1810261812_Samsung-Electro-Mechanics-CL10A105KB8NNNC_C15849.pdf
C25803,0603WAF1003T5E,0603,5911125,100kΩ ±1% 100mW,Chip Resistor - Surface Mount,base,,,https://datasheet.lcsc.com/lcsc/2206010045_UNI-ROYAL-Uniroyal-Elec-0603WAF1003T5E_C25803.pdf
C19702,CL10A106KP8NNNC,0603,4631812,10uF ±10% 10V,Multilayer Ceramic Capacitors MLCC - SMD/SMT,base,,,https://datasheet.lcsc.com/lcsc/1810191219_Samsung-Electro-Mechanics-CL10A106KP8NNNC_C19702.pdf
C22775,0603WAF1000T5E,0603,3820825,100Ω ±1% 100mW,Chip Resistor - Surface Mount,base,,,https://datasheet.lcsc.com/lcsc/2206010130_UNI-ROYAL-Uniroyal-Elec-0603WAF1000T5E_C22775.pdf
C23630,CL10A225KO8NNNC,0603,3567564,2.2uF ±10% 16V,Multilayer Ceramic Capacitors MLCC - SMD/SMT,base,,,https://datasheet.lcsc.com/lcsc/1810271109_Samsung-Electro-Mechanics-CL10A225KO8NNNC_C23630.pdf
C52923,CL05A105KA5NQNC,0402,3327385,1uF ±10% 25V,Multilayer Ceramic Capacitors MLCC - SMD/SMT,base,,,https://datasheet.lcsc.com/lcsc/1811091611_Samsung-Electro-Mechanics-CL05A105KA5NQNC_C52923.pdf
C1848,CL31B105KBHNNNE,1206,2865444,1uF ±10% 50V,Multilayer Ceramic Capacitors MLCC - SMD/SMT,base,,,https://datasheet.lcsc.com/lcsc/1810271109_Samsung-Electro-Mechanics-CL31B105KBHNNNE_C1848.pdf
C15008,CL31A107MQHNNNE,1206,1700382,100uF ±20% 6.3V,Multilayer Ceramic Capacitors MLCC - SMD/SMT,base,,,https://datasheet.lcsc.com/lcsc/1810301816_Samsung-Electro-Mechanics-CL31A107MQHNNNE_C15008.pdf
C25900,0402WGF4701TCE,0402,1667436,4.7kΩ ±1% 62.5mW,Chip Resistor - Surface Mount,base,,,https://datasheet.lcsc.com/lcsc/2206010045_UNI-ROYAL-Uniroyal-Elec-0402WGF4701TCE_C25900.pdf
C72043,19-217/GHC-YR1S2/3T,0603,1581584,翠绿 520nm~535nm,Light Emitting Diodes (LED),base,,,https://datasheet.lcsc.com/lcsc/1811101510_Everlight-Elec-19-217-GHC-YR1S2-3T_C72043.pdf
C12530,CL05A225MQ5NSNC,0402,1383994,2.2uF ±20% 6.3V,Multilayer Ceramic Capacitors MLCC - SMD/SMT,base,,,https://datasheet.lcsc.com/lcsc/1811021410_Samsung-Electro-Mechanics-CL05A225MQ5NSNC_C12530.pdf
C24497,CL31B104KBCNNNC,1206,1344318,100nF ±10% 50V,Multilayer Ceramic Capacitors MLCC - SMD/SMT,base,,,https://datasheet.lcsc.com/lcsc/1810221109_Samsung-Electro-Mechanics-CL31B104KBCNNNC_C24497.pdf
C22935,0603WAF1004T5E,0603,1111786,1MΩ ±1% 100mW,Chip Resistor - Surface Mount,base,,,https://datasheet.lcsc.com/lcsc/2206010130_UNI-ROYAL-Uniroyal-Elec-0603WAF1004T5E_C22935.pdf
C27834,0805W8F5101T5E,0805,986549,5.1kΩ ±1% 125mW,Chip Resistor - Surface Mount,base,,,https://datasheet.lcsc.com/lcsc/2206010030_UNI-ROYAL-Uniroyal-Elec-0805W8F5101T5E_C27834.pdf
C64898,SM4007PL,SOD-123FL,966268,1kV 1A 1.1V@1A,Diodes - General Purpose,base,,,https://datasheet.lcsc.com/lcsc/1809301215_MDD-Microdiode-Electronics--SM4007PL_C64898.pdf
C17630,0805W8F3300T5E,0805,905206,330Ω ±1% 125mW,Chip Resistor - Surface Mount,base,,,https://datasheet.lcsc.com/lcsc/2205311830_UNI-ROYAL-Uniroyal-Elec-0805W8F3300T5E_C17630.pdf
C23178,0603WAF4703T5E,0603,743187,470kΩ ±1% 100mW,Chip Resistor - Surface Mount,base,,,https://datasheet.lcsc.com/lcsc/2206010116_UNI-ROYAL-Uniroyal-Elec-0603WAF4703T5E_C23178.pdf
C25117,0402WGF4700TCE,0402,735005,470Ω ±1% 62.5mW,Chip Resistor - Surface Mount,base,,,https://datasheet.lcsc.com/lcsc/2205311900_UNI-ROYAL-Uniroyal-Elec-0402WGF4700TCE_C25117.pdf
C22950,0603WAF200JT5E,0603,706175,20Ω ±1% 100mW,Chip Resistor - Surface Mount,base,,,https://datasheet.lcsc.com/lcsc/2206010130_UNI-ROYAL-Uniroyal-Elec-0603WAF200JT5E_C22950.pdf
C1634,CL10C100JB8NNNC,0603,703275,10pF ±5% 50V,Multilayer Ceramic Capacitors MLCC - SMD/SMT,base,,,https://datasheet.lcsc.com/lcsc/1810261513_Samsung-Electro-Mechanics-CL10C100JB8NNNC_C1634.pdf
C17734,0805W8F5100T5E,0805,683043,510Ω ±1% 125mW,Chip Resistor - Surface Mount,base,,,https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F5100T5E_C17734.pdf
C4216,0603WAF3302T5E,0603,666216,33kΩ ±1% 100mW,Chip Resistor - Surface Mount,base,,,https://datasheet.lcsc.com/lcsc/2206010230_UNI-ROYAL-Uniroyal-Elec-0603WAF3302T5E_C4216.pdf
C17661,0805W8F3001T5E,0805,655749,3kΩ ±1% 125mW,Chip Resistor - Surface Mount,base,,,https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F3001T5E_C17661.pdf
C17927,1206W4F1004T5E,1206,654584,1MΩ ±1% 250mW,Chip Resistor - Surface Mount,base,,,https://datasheet.lcsc.com/lcsc/2206010145_UNI-ROYAL-Uniroyal-Elec-1206W4F1004T5E_C17927.pdf
C53987,0603B472K500NT,0603,638091,4.7nF ±10% 50V,Multilayer Ceramic Capacitors MLCC - SMD/SMT,base,,,https://datasheet.lcsc.com/lcsc/1811061811_FH--Guangdong-Fenghua-Advanced-Tech-0603B472K500NT_C53987.pdf
C16106,HT7550-1,SOT-89-3,598693,正 Vin=30V Vout=5V 150mA,Linear Voltage Regulators (LDO),base,,,https://datasheet.lcsc.com/lcsc/1811061932_Holtek-Semicon-HT7550-1_C16106.pdf
C23197,0603WAF510JT5E,0603,578182,51Ω ±1% 100mW,Chip Resistor - Surface Mount,base,,,https://datasheet.lcsc.com/lcsc/2206010116_UNI-ROYAL-Uniroyal-Elec-0603WAF510JT5E_C23197.pdf
C49217,0805F225M500NT,0805,545800,2.2uF ±20% 50V,Multilayer Ceramic Capacitors MLCC - SMD/SMT,base,,,https://datasheet.lcsc.com/lcsc/1811101411_FH--Guangdong-Fenghua-Advanced-Tech-0805F225M500NT_C49217.pdf
C2500,"BAV99,215",SOT-23,534924,"BAV99,215",Switching Diode,base,,,https://datasheet.lcsc.com/lcsc/1811141238_Nexperia-BAV99-215_C2500.pdf
C25867,0402WGF1501TCE,0402,465883,1.5kΩ ±1% 62.5mW,Chip Resistor - Surface Mount,base,,,https://datasheet.lcsc.com/lcsc/2206010045_UNI-ROYAL-Uniroyal-Elec-0402WGF1501TCE_C25867.pdf
C17738,0805W8F510JT5E,0805,434424,51Ω ±1% 125mW,Chip Resistor - Surface Mount,base,,,https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F510JT5E_C17738.pdf
C25794,0402WGF5102TCE,0402,424282,51kΩ ±1% 62.5mW,Chip Resistor - Surface Mount,base,,,https://datasheet.lcsc.com/lcsc/2206010100_UNI-ROYAL-Uniroyal-Elec-0402WGF5102TCE_C25794.pdf
C8512,MMBT2222A 1P,SOT-23,409804,NPN 40V 600mA,Bipolar Transistors - BJT,base,,,https://datasheet.lcsc.com/lcsc/1811081957_Jiangsu-Changjing-Electronics-Technology-Co---Ltd--MMBT2222A-1P_C8512.pdf
C23024,0603WAF3003T5E,0603,404455,300kΩ ±1% 100mW,Chip Resistor - Surface Mount,base,,,https://datasheet.lcsc.com/lcsc/2206010116_UNI-ROYAL-Uniroyal-Elec-0603WAF3003T5E_C23024.pdf
C22452,SS54,SMA(DO-214AC),382665,40V 5A 550mV@5A,Schottky Barrier Diodes (SBD),base,,,https://datasheet.lcsc.com/lcsc/1810192041_MDD-Microdiode-Electronics--SS54_C22452.pdf
C1562,0402CG330J500NT,0402,372319,33pF ±5% 50V,Multilayer Ceramic Capacitors MLCC - SMD/SMT,base,,,https://datasheet.lcsc.com/lcsc/1811141731_FH--Guangdong-Fenghua-Advanced-Tech-0402CG330J500NT_C1562.pdf
C23352,0603WAF2402T5E,0603,362496,24kΩ ±1% 100mW,Chip Resistor - Surface Mount,base,,,https://datasheet.lcsc.com/lcsc/2206010100_UNI-ROYAL-Uniroyal-Elec-0603WAF2402T5E_C23352.pdf
C32565,EL3H7(B)(TA)-G,SOP-4-2.8mm,348967,EL3H7(B)(TA)-G,Optocouplers - Phototransistor Output,base,,,https://datasheet.lcsc.com/lcsc/1811131510_Everlight-Elec-EL3H7-B-TA-G_C32565.pdf
C191023,1N5819WS,SOD-323,337210,40V 1A 600mV@1A,Schottky Barrier Diodes (SBD),base,,,https://datasheet.lcsc.com/lcsc/2204281430_Guangdong-Hottech-1N5819WS_C191023.pdf
C23018,0603WAF3901T5E,0603,333397,3.9kΩ ±1% 100mW,Chip Resistor - Surface Mount,base,,,https://datasheet.lcsc.com/lcsc/2206010116_UNI-ROYAL-Uniroyal-Elec-0603WAF3901T5E_C23018.pdf
C22808,0603WAF1500T5E,0603,331018,150Ω ±1% 100mW,Chip Resistor - Surface Mount,base,,,https://datasheet.lcsc.com/lcsc/2206010130_UNI-ROYAL-Uniroyal-Elec-0603WAF1500T5E_C22808.pdf
C17606,0805W8F200KT5E,0805,330410,2Ω ±1% 125mW,Chip Resistor - Surface Mount,base,,,https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F200KT5E_C17606.pdf
C22818,0603WAF1602T5E,0603,313387,16KΩ (1602) ±1%,Chip Resistor - Surface Mount,base,,,https://datasheet.lcsc.com/lcsc/1811081724_UNI-ROYAL-Uniroyal-Elec-0603WAF1602T5E_C22818.pdf
C25765,0402WGF2002TCE,0402,311882,20kΩ ±1% 62.5mW,Chip Resistor - Surface Mount,base,,,https://datasheet.lcsc.com/lcsc/2206010100_UNI-ROYAL-Uniroyal-Elec-0402WGF2002TCE_C25765.pdf
C17544,0805W8F200JT5E,0805,311735,20Ω ±1% 125mW,Chip Resistor - Surface Mount,base,,,https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F200JT5E_C17544.pdf
