ComponentCode,ComponentModel,ComponentSpecification,StockCount,ERPComponentName,ComponentType,ComponentLibraryType,SortableValueMagnitude,SortableValueUnit
C309455,CC0402BRNPO9BN1R0,0402,112359,1pF ±0.1pF 50V,Multilayer Ceramic Capacitors MLCC - SMD/SMT,expand,0.000001000000,microfarad
C76898,GJM1555C1H1R0BB01D,0402,99517,1pF ±0.1pF 50V,Multilayer Ceramic Capacitors MLCC - SMD/SMT,expand,0.000001000000,microfarad
C115062,CC0603BRNPO9BN1R0,0603,60706,1pF ±0.1pF 50V,Multilayer Ceramic Capacitors MLCC - SMD/SMT,expand,0.000001000000,microfarad
C37117,0603CG1R0C500NT,0603,58612,1pF ±0.25pF 50V,Multilayer Ceramic Capacitors MLCC - SMD/SMT,expand,0.000001000000,microfarad
C277493,CC0402CRNPO9BN1R0,0402,36823,1pF ±0.25pF 50V,Multilayer Ceramic Capacitors MLCC - SMD/SMT,expand,0.000001000000,microfarad
C277513,CC0603CRNPO9BN1R0,0603,32680,1pF ±0.25pF 50V,Multilayer Ceramic Capacitors MLCC - SMD/SMT,expand,0.000001000000,microfarad
C76953,GRM1555C1H1R0CA01D,0402,26981,1pF ±0.25pF 50V,Multilayer Ceramic Capacitors MLCC - SMD/SMT,expand,0.000001000000,microfarad
C107051,CC0603JRNPO9BN510,0603,24881,51pF ±5% 50V,Multilayer Ceramic Capacitors MLCC - SMD/SMT,expand,0.000001000000,microfarad
C161148,GCM1555C1H1R0BA16D,0402,18455,1pF ±0.1pF 50V,Multilayer Ceramic Capacitors MLCC - SMD/SMT,expand,0.000001000000,microfarad
C302058,0603N1R0C500CT,0603,13235,1pF ±0.25pF 50V,Multilayer Ceramic Capacitors MLCC - SMD/SMT,expand,0.000001000000,microfarad
C507049,0603CG1R0B500NT,0603,10415,1pF ±0.1pF 50V,Multilayer Ceramic Capacitors MLCC - SMD/SMT,expand,0.000001000000,microfarad
C237535,GJM1555C1H5R1BB01D,0402,10324,5.1pF ±0.1pF 50V,Multilayer Ceramic Capacitors MLCC - SMD/SMT,expand,0.000001000000,microfarad
C123461,0402N1R0C500CT,0402,9996,1pF ±0.25pF 50V,Multilayer Ceramic Capacitors MLCC - SMD/SMT,expand,0.000001000000,microfarad
C323585,MT15N1R0B500CT,0402,9600,1pF ±0.1pF 50V,Multilayer Ceramic Capacitors MLCC - SMD/SMT,expand,0.000001000000,microfarad
C295948,0402N0R1C500CT,0402,9288,0.1pF ±0.25pF 50V,Multilayer Ceramic Capacitors MLCC - SMD/SMT,expand,0.000001000000,microfarad
C326823,AC0402BRNPO9BN1R0,0402,8637,1pF ±0.1pF 50V,Multilayer Ceramic Capacitors MLCC - SMD/SMT,expand,0.000001000000,microfarad
C599576,C0402C109C5GAC7867,0402,8540,1pF ±0.25pF 50V,Multilayer Ceramic Capacitors MLCC - SMD/SMT,expand,0.000001000000,microfarad
C441757,GRM1555C1HR10WA01D,0402,7544,0.1pF ±0.05pF 50V,Multilayer Ceramic Capacitors MLCC - SMD/SMT,expand,0.000001000000,microfarad
C85893,GRM0335C1H1R0BA01D,0201,7390,1pF ±0.1pF 50V,Multilayer Ceramic Capacitors MLCC - SMD/SMT,expand,0.000001000000,microfarad
C1825,0805CG5R1C500NT,0805,7368,5.1pF ±0.25pF 50V,Multilayer Ceramic Capacitors MLCC - SMD/SMT,expand,0.000001000000,microfarad
C1571,0402CG510J500NT,0402,6945,51pF ±5% 50V,Multilayer Ceramic Capacitors MLCC - SMD/SMT,expand,0.000001000000,microfarad
C387974,0402N1R1C500CT,0402,6615,1.1pF ±0.25pF 50V,Multilayer Ceramic Capacitors MLCC - SMD/SMT,expand,0.000001000000,microfarad
C415534,GRM1555C1H5R1BA01D,0402,6597,5.1pF ±0.1pF 50V,Multilayer Ceramic Capacitors MLCC - SMD/SMT,expand,0.000001000000,microfarad
C258457,C0603NP0109CGT,0201,6100,1pF ±0.25pF 50V,Multilayer Ceramic Capacitors MLCC - SMD/SMT,expand,0.000001000000,microfarad
C376793,TCC0603COG510J500CT,0603,5802,51pF ±5% 50V,Multilayer Ceramic Capacitors MLCC - SMD/SMT,expand,0.000001000000,microfarad
C161376,GRM0335C1E1R0CA01D,0201,5777,1pF ±0.25pF 25V,Multilayer Ceramic Capacitors MLCC - SMD/SMT,expand,0.000001000000,microfarad
C285028,0402CG1R0B500NT,0402,5576,1pF ±0.1pF 50V,Multilayer Ceramic Capacitors MLCC - SMD/SMT,expand,0.000001000000,microfarad
C497527,GJM1555C1H9R1BB01D,0402,4828,9.1pF ±0.1pF 50V,Multilayer Ceramic Capacitors MLCC - SMD/SMT,expand,0.000001000000,microfarad
C1786,0805CG1R0C500NT,0805,4522,1pF ±0.25pF 50V,Multilayer Ceramic Capacitors MLCC - SMD/SMT,expand,0.000001000000,microfarad
C1675,0603CG510J500NT,0603,4098,51pF ±5% 50V,Multilayer Ceramic Capacitors MLCC - SMD/SMT,expand,0.000001000000,microfarad
C1891,1206CG1R0C500NT,1206,4010,1pF ±0.25pF 50V,Multilayer Ceramic Capacitors MLCC - SMD/SMT,expand,0.000001000000,microfarad
