ComponentCode,ComponentModel,ComponentSpecification,StockCount,ERPComponentName,ComponentType,ComponentLibraryType,SortableValueMagnitude,SortableValueUnit
C98039,LQP03TN1N0B02D,0201,27522,1nH ±0.1nH 100mΩ,Inductors (SMD),expand,0.001000000,microhenry
C395077,VHF100505HQ9N1JT,0402,17333,9.1nH ±5% 400mΩ,Inductors (SMD),expand,0.001000000,microhenry
C162631,LQP03TN9N1H02D,0201,13677,9.1nH ±3% 700mΩ 【标准型专用】,Inductors (SMD),expand,0.001000000,microhenry
C346307,FEC0603CP-2N1G-LRH,0603,13587,2.1nH ±2% 5mΩ,Inductors (SMD),expand,0.001000000,microhenry
C211324,VHF060303HQ5N1ST,0201,13185,5.1nH ±0.3nH 460mΩ,Inductors (SMD),expand,0.001000000,microhenry
C186815,AISC-0402-1N0J-T,"SMD,0.6x1.2mm",9581,1nH ±5%,Inductors (SMD),expand,0.001000000,microhenry
C113116,LQW15AN51NG00D,0402,9318,51nH ±2% 1.08Ω,Inductors (SMD),expand,0.001000000,microhenry
C142211,CLH1005T-9N1J-S-NP,0402,9178,9.1nH ±5% 260mΩ,Inductors (SMD),expand,0.001000000,microhenry
C408160,LQW15AN51NJ0ZD,0402,9145,51nH ±5% 1.08Ω,Inductors (SMD),expand,0.001000000,microhenry
C186823,AISC-0402-5N1J-T,"SMD,0.6x1.2mm",9108,5.1nH ±5%,Inductors (SMD),expand,0.001000000,microhenry
C395051,VHF100505HQ1N0ST,0402,8785,1nH ±0.3nH 100mΩ,Inductors (SMD),expand,0.001000000,microhenry
C184300,LQG15HN1N1S02D,0402,8690,1.1nH ±0.3nH 80mΩ,Inductors (SMD),expand,0.001000000,microhenry
C186830,AISC-0402-11NJ-T,"SMD,0.6x1.2mm",8604,11nH ±5%,Inductors (SMD),expand,0.001000000,microhenry
C307607,LQW04AN1N1D00D,03015,8420,1.1nH ±0.5nH 30mΩ,Inductors (SMD),expand,0.001000000,microhenry
C142212,CLH1005T-9N1J-S,0402,8200,9.1nH ±5% 260mΩ,Inductors (SMD),expand,0.001000000,microhenry
C237608,LQG15HH1N0S02D,0402,7860,1nH ±0.3nH 70mΩ,Inductors (SMD),expand,0.001000000,microhenry
C405028,CMCC1005C9N1JSP,0402,7745,9.1nH ±5% 420mΩ,Inductors (SMD),expand,0.001000000,microhenry
C280985,MGCI1005T1N0ST-LF,0402,7625,1nH ±0.3nH 80mΩ,Inductors (SMD),expand,0.001000000,microhenry
